Age,Gender,City,Device_Type,Payment_Method,Email,Test_Group,Campaign_Result
26,Female,Istanbul,Mobile,Digital Wallet,heathersmith@example.org,Test B,Success
41,Male,Bursa,Desktop,Bank Transfer,mbartlett@example.net,Test C,Failed
21,Female,Istanbul,Mobile,Digital Wallet,roger06@example.com,Test B,Success
20,Female,Ankara,Mobile,Digital Wallet,aliciahebert@example.org,Test B,Success
22,Female,Ankara,Mobile,Credit Card,haleyedwin@example.org,Test B,Success
33,Female,Izmir,Mobile,Credit Card,cervantesyolanda@example.org,Test A,Success
34,Female,Izmir,Tablet,Credit Card,jeffreytorres@example.org,Test A,Success
39,Female,Izmir,Mobile,Credit Card,nancymendoza@example.com,Test A,Failed
45,Female,Bursa,Desktop,Bank Transfer,wcuevas@example.org,Test C,Failed
41,Male,Bursa,Desktop,Cash on Delivery,charles63@example.com,Test C,Failed
39,Female,Antalya,Mobile,Credit Card,ycooley@example.com,Test A,Failed
33,Female,Izmir,Tablet,Credit Card,javierlewis@example.org,Test A,Success
23,Female,Ankara,Mobile,Credit Card,zbarrett@example.org,Test B,Success
33,Female,Izmir,Mobile,Credit Card,silvapatricia@example.org,Test A,Success
42,Female,Konya,Desktop,Bank Transfer,sroberson@example.net,Test C,Failed
40,Female,Bursa,Desktop,Bank Transfer,kristin79@example.net,Test C,Success
45,Male,Konya,Desktop,Bank Transfer,veronica79@example.org,Test C,Failed
42,Female,Konya,Desktop,Bank Transfer,terri88@example.com,Test C,Failed
35,Female,Antalya,Tablet,Credit Card,rodgersmichelle@example.com,Test A,Success
33,Female,Konya,Desktop,Cash on Delivery,flynnmark@example.net,Test C,Failed
38,Male,Antalya,Tablet,Credit Card,qjordan@example.org,Test A,Failed
26,Female,Istanbul,Mobile,Credit Card,carlos21@example.net,Test B,Success
23,Female,Istanbul,Mobile,Digital Wallet,joshua59@example.org,Test B,Failed
33,Female,Konya,Desktop,Bank Transfer,crystalphillips@example.net,Test C,Success
33,Female,Bursa,Desktop,Cash on Delivery,schwartzgary@example.org,Test C,Failed
24,Female,Ankara,Mobile,Credit Card,acampbell@example.net,Test B,Failed
34,Male,Konya,Desktop,Bank Transfer,melaniekelley@example.com,Test C,Failed
30,Female,Antalya,Mobile,Credit Card,ckelly@example.net,Test A,Success
39,Female,Antalya,Tablet,Credit Card,candicerobertson@example.com,Test A,Failed
32,Male,Izmir,Tablet,Credit Card,timothy19@example.net,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,bkirk@example.net,Test B,Success
29,Female,Izmir,Tablet,Credit Card,marquezcatherine@example.com,Test A,Success
37,Female,Izmir,Mobile,Credit Card,maria25@example.com,Test A,Success
23,Female,Istanbul,Mobile,Credit Card,danielabbott@example.net,Test B,Success
34,Female,Antalya,Tablet,Credit Card,zbrown@example.org,Test A,Success
41,Male,Bursa,Desktop,Bank Transfer,ericglass@example.net,Test C,Failed
30,Female,Antalya,Tablet,Credit Card,aprilacosta@example.com,Test A,Success
35,Female,Izmir,Mobile,Credit Card,frankmoore@example.org,Test A,Success
32,Female,Izmir,Mobile,Credit Card,millerlauren@example.org,Test A,Success
29,Female,Antalya,Tablet,Credit Card,sanchezjulie@example.com,Test A,Success
43,Female,Bursa,Desktop,Cash on Delivery,jackie10@example.org,Test C,Failed
40,Female,Izmir,Mobile,Credit Card,griffithmichelle@example.com,Test A,Success
44,Male,Konya,Desktop,Bank Transfer,wilkersonjaime@example.org,Test C,Success
32,Female,Antalya,Tablet,Credit Card,hsmith@example.com,Test A,Success
24,Female,Ankara,Mobile,Credit Card,nunezfrederick@example.com,Test B,Failed
26,Female,Istanbul,Mobile,Credit Card,jacksonjennifer@example.org,Test B,Success
36,Male,Antalya,Tablet,Credit Card,dominiquehernandez@example.com,Test A,Failed
38,Male,Konya,Desktop,Bank Transfer,deanjeremy@example.org,Test C,Failed
36,Male,Bursa,Desktop,Bank Transfer,walkerhannah@example.com,Test C,Success
39,Female,Izmir,Tablet,Credit Card,tylercastillo@example.org,Test A,Success
37,Female,Konya,Desktop,Cash on Delivery,alejandrodouglas@example.org,Test C,Failed
40,Male,Konya,Desktop,Bank Transfer,cameron02@example.org,Test C,Failed
33,Male,Izmir,Tablet,Credit Card,lopeztina@example.net,Test A,Failed
35,Female,Antalya,Mobile,Credit Card,eric68@example.net,Test A,Success
22,Female,Ankara,Mobile,Credit Card,brandon18@example.net,Test B,Failed
34,Male,Konya,Desktop,Cash on Delivery,smithcarl@example.net,Test C,Failed
37,Male,Bursa,Desktop,Cash on Delivery,kellylewis@example.org,Test C,Failed
43,Female,Bursa,Desktop,Bank Transfer,christopherwaller@example.org,Test C,Failed
35,Male,Antalya,Mobile,Credit Card,ijohnson@example.com,Test A,Failed
37,Female,Izmir,Mobile,Credit Card,tylerrodriguez@example.net,Test A,Success
34,Female,Izmir,Tablet,Credit Card,fowlermark@example.com,Test A,Success
21,Female,Ankara,Mobile,Digital Wallet,romanscott@example.org,Test B,Success
21,Female,Istanbul,Mobile,Digital Wallet,murphygabrielle@example.net,Test B,Failed
41,Female,Bursa,Desktop,Cash on Delivery,shirleystokes@example.com,Test C,Failed
30,Male,Izmir,Tablet,Credit Card,rdominguez@example.org,Test A,Success
29,Female,Antalya,Mobile,Credit Card,brandon55@example.com,Test A,Success
24,Female,Ankara,Mobile,Digital Wallet,johnsoncrystal@example.net,Test B,Failed
26,Female,Ankara,Mobile,Credit Card,yjohnson@example.com,Test B,Success
26,Female,Ankara,Mobile,Credit Card,davidshields@example.net,Test B,Success
23,Female,Ankara,Mobile,Credit Card,brandi53@example.net,Test B,Success
22,Female,Istanbul,Mobile,Digital Wallet,annamullins@example.net,Test B,Failed
26,Female,Istanbul,Mobile,Digital Wallet,randerson@example.com,Test B,Failed
43,Male,Bursa,Desktop,Bank Transfer,smithcarl@example.net,Test C,Failed
32,Female,Izmir,Tablet,Credit Card,morandanielle@example.net,Test A,Success
38,Male,Bursa,Desktop,Cash on Delivery,natasha88@example.com,Test C,Failed
40,Male,Konya,Desktop,Cash on Delivery,joshua99@example.net,Test C,Failed
38,Male,Konya,Desktop,Cash on Delivery,jeffreybrown@example.net,Test C,Success
45,Male,Konya,Desktop,Bank Transfer,johnsonjill@example.com,Test C,Failed
28,Male,Izmir,Mobile,Credit Card,craneerica@example.com,Test A,Success
32,Female,Antalya,Tablet,Credit Card,michelleholmes@example.com,Test A,Success
30,Female,Izmir,Mobile,Credit Card,roserachel@example.com,Test A,Success
35,Female,Izmir,Tablet,Credit Card,mwaters@example.net,Test A,Success
45,Female,Konya,Desktop,Cash on Delivery,morrisrobert@example.org,Test C,Success
36,Female,Izmir,Mobile,Credit Card,skinnermichael@example.net,Test A,Success
37,Female,Izmir,Tablet,Credit Card,franklinsteven@example.org,Test A,Success
40,Female,Konya,Desktop,Bank Transfer,daryl71@example.net,Test C,Failed
36,Female,Izmir,Tablet,Credit Card,ronald41@example.net,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,douglas07@example.com,Test B,Success
37,Male,Konya,Desktop,Bank Transfer,michael44@example.net,Test C,Failed
36,Female,Izmir,Mobile,Credit Card,gjohnson@example.org,Test A,Success
42,Male,Konya,Desktop,Cash on Delivery,diane87@example.net,Test C,Failed
23,Female,Ankara,Mobile,Credit Card,kimberlymeza@example.com,Test B,Success
39,Male,Bursa,Desktop,Bank Transfer,brandi53@example.net,Test C,Failed
41,Male,Bursa,Desktop,Cash on Delivery,wrightwilliam@example.com,Test C,Failed
40,Female,Antalya,Mobile,Credit Card,sherrylowery@example.com,Test A,Success
21,Female,Ankara,Mobile,Credit Card,zwoodward@example.net,Test B,Success
37,Female,Konya,Desktop,Cash on Delivery,sanfordtonya@example.net,Test C,Failed
25,Female,Istanbul,Mobile,Credit Card,wilcoxrobert@example.net,Test B,Failed
25,Female,Ankara,Mobile,Digital Wallet,patrick68@example.com,Test B,Success
37,Female,Konya,Desktop,Cash on Delivery,bbrowning@example.com,Test C,Failed
23,Female,Istanbul,Mobile,Digital Wallet,dtaylor@example.com,Test B,Success
35,Male,Konya,Desktop,Cash on Delivery,michaelreed@example.com,Test C,Failed
36,Male,Konya,Desktop,Bank Transfer,kingjohn@example.org,Test C,Failed
20,Female,Istanbul,Mobile,Credit Card,thomascharlotte@example.com,Test B,Success
25,Female,Ankara,Mobile,Credit Card,smithmarie@example.org,Test B,Failed
26,Female,Ankara,Mobile,Digital Wallet,mendezangelica@example.com,Test B,Success
40,Male,Konya,Desktop,Cash on Delivery,igarrett@example.com,Test C,Failed
40,Female,Antalya,Tablet,Credit Card,charlesperkins@example.org,Test A,Failed
26,Female,Ankara,Mobile,Digital Wallet,shenderson@example.com,Test B,Success
44,Female,Bursa,Desktop,Bank Transfer,daviscassandra@example.org,Test C,Failed
40,Male,Konya,Desktop,Cash on Delivery,nicholas38@example.org,Test C,Success
39,Female,Konya,Desktop,Cash on Delivery,alopez@example.org,Test C,Success
36,Male,Antalya,Tablet,Credit Card,agomez@example.net,Test A,Failed
40,Female,Bursa,Desktop,Bank Transfer,paynestephanie@example.net,Test C,Failed
36,Female,Antalya,Tablet,Credit Card,tannertaylor@example.org,Test A,Failed
36,Female,Bursa,Desktop,Cash on Delivery,amills@example.net,Test C,Failed
40,Female,Konya,Desktop,Cash on Delivery,terrydarren@example.com,Test C,Success
35,Female,Izmir,Mobile,Credit Card,williamcollins@example.com,Test A,Failed
38,Female,Antalya,Tablet,Credit Card,angelaguerra@example.com,Test A,Failed
36,Male,Antalya,Mobile,Credit Card,herbertwright@example.org,Test A,Success
21,Female,Istanbul,Mobile,Digital Wallet,tfields@example.org,Test B,Failed
29,Female,Izmir,Tablet,Credit Card,nicole35@example.com,Test A,Success
21,Female,Istanbul,Mobile,Credit Card,osbornejorge@example.org,Test B,Failed
45,Female,Konya,Desktop,Cash on Delivery,john44@example.com,Test C,Failed
24,Female,Ankara,Mobile,Credit Card,timothy11@example.net,Test B,Success
37,Female,Konya,Desktop,Cash on Delivery,diamondrocha@example.com,Test C,Failed
26,Female,Istanbul,Mobile,Digital Wallet,gregoryesparza@example.net,Test B,Success
23,Female,Istanbul,Mobile,Credit Card,phaynes@example.net,Test B,Failed
44,Male,Bursa,Desktop,Bank Transfer,currygary@example.net,Test C,Failed
26,Female,Istanbul,Mobile,Credit Card,hawkinsjeanette@example.net,Test B,Success
43,Female,Konya,Desktop,Cash on Delivery,taylorrebekah@example.org,Test C,Failed
43,Female,Bursa,Desktop,Cash on Delivery,eric37@example.org,Test C,Failed
38,Female,Konya,Desktop,Cash on Delivery,martinchristopher@example.org,Test C,Failed
29,Female,Izmir,Mobile,Credit Card,justin10@example.org,Test A,Success
29,Female,Izmir,Tablet,Credit Card,timothyvasquez@example.net,Test A,Failed
36,Male,Bursa,Desktop,Cash on Delivery,piercejohn@example.net,Test C,Failed
37,Female,Izmir,Tablet,Credit Card,mclaughlinandrew@example.org,Test A,Success
39,Female,Antalya,Tablet,Credit Card,williesanchez@example.com,Test A,Failed
23,Female,Istanbul,Mobile,Digital Wallet,marybarnett@example.com,Test B,Success
21,Female,Istanbul,Mobile,Digital Wallet,lunasharon@example.net,Test B,Success
22,Female,Ankara,Mobile,Credit Card,vallison@example.com,Test B,Success
35,Female,Konya,Desktop,Cash on Delivery,lesliebennett@example.org,Test C,Failed
32,Female,Izmir,Mobile,Credit Card,stephanie51@example.com,Test A,Success
40,Female,Bursa,Desktop,Cash on Delivery,anichols@example.net,Test C,Failed
39,Female,Antalya,Mobile,Credit Card,thomaswebb@example.com,Test A,Success
36,Male,Konya,Desktop,Bank Transfer,tyler95@example.net,Test C,Failed
38,Male,Konya,Desktop,Bank Transfer,wellskeith@example.net,Test C,Failed
22,Female,Istanbul,Mobile,Credit Card,autumn54@example.com,Test B,Success
37,Female,Izmir,Tablet,Credit Card,vwilliams@example.com,Test A,Success
26,Female,Istanbul,Mobile,Credit Card,millerjacob@example.org,Test B,Success
24,Female,Istanbul,Mobile,Credit Card,brownamber@example.net,Test B,Success
32,Male,Antalya,Mobile,Credit Card,lemichael@example.net,Test A,Success
36,Male,Antalya,Tablet,Credit Card,johnsoncrystal@example.net,Test A,Success
26,Female,Ankara,Mobile,Digital Wallet,irwindale@example.org,Test B,Success
38,Female,Bursa,Desktop,Cash on Delivery,chamberscrystal@example.org,Test C,Success
40,Female,Antalya,Mobile,Credit Card,bgray@example.net,Test A,Failed
22,Female,Ankara,Mobile,Digital Wallet,browncatherine@example.net,Test B,Success
41,Female,Konya,Desktop,Bank Transfer,englishbryan@example.org,Test C,Failed
40,Male,Konya,Desktop,Cash on Delivery,lisabrewer@example.com,Test C,Failed
38,Female,Antalya,Tablet,Credit Card,ann62@example.com,Test A,Failed
40,Male,Konya,Desktop,Bank Transfer,teresayang@example.org,Test C,Failed
34,Female,Bursa,Desktop,Cash on Delivery,millerjacob@example.org,Test C,Failed
24,Female,Istanbul,Mobile,Credit Card,fieldsbrian@example.com,Test B,Success
26,Female,Istanbul,Mobile,Digital Wallet,kennethcooper@example.com,Test B,Success
41,Female,Bursa,Desktop,Cash on Delivery,tyler34@example.org,Test C,Success
20,Female,Ankara,Mobile,Digital Wallet,curtis04@example.org,Test B,Success
36,Female,Izmir,Mobile,Credit Card,pwalls@example.com,Test A,Success
25,Female,Istanbul,Mobile,Credit Card,johncole@example.net,Test B,Success
20,Female,Ankara,Mobile,Digital Wallet,xsanchez@example.com,Test B,Success
23,Female,Istanbul,Mobile,Digital Wallet,mmcdonald@example.net,Test B,Success
39,Female,Antalya,Mobile,Credit Card,christian41@example.org,Test A,Success
36,Female,Konya,Desktop,Bank Transfer,robertholloway@example.org,Test C,Failed
34,Female,Konya,Desktop,Cash on Delivery,austin32@example.org,Test C,Failed
28,Male,Izmir,Mobile,Credit Card,hernandezeric@example.org,Test A,Failed
44,Female,Bursa,Desktop,Bank Transfer,wcontreras@example.net,Test C,Failed
40,Female,Izmir,Tablet,Credit Card,kristen92@example.net,Test A,Success
20,Female,Istanbul,Mobile,Credit Card,tammy80@example.org,Test B,Success
25,Female,Istanbul,Mobile,Digital Wallet,ryanwilliam@example.com,Test B,Success
43,Male,Bursa,Desktop,Bank Transfer,ohaynes@example.org,Test C,Failed
40,Female,Konya,Desktop,Cash on Delivery,kimberlywatson@example.com,Test C,Failed
